 Municipio,total Paro Registrado,Paro hombre edad < 25,Paro hombre edad 25 -45 ,Paro hombre edad >=45,Paro mujer edad < 25,Paro mujer edad 25 -45 ,Paro mujer edad >=45,Paro Agricultura,Paro Industria,Paro construccion,Paro Servicios,Paro Sin empleo Anterior,mes,year
"Acebeda, La",7.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,5.0,0.0,01,2021
Ajalvir,276.0,15.0,41.0,60.0,8.0,71.0,81.0,7.0,28.0,8.0,216.0,17.0,01,2021
Alameda del Valle,11.0,0.0,3.0,2.0,0.0,3.0,3.0,1.0,1.0,0.0,6.0,3.0,01,2021
"ï¿½lamo, El",784.0,52.0,146.0,160.0,45.0,169.0,212.0,3.0,51.0,85.0,561.0,84.0,01,2021
Alcalï¿½ de Henares,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,12.0,17.0,147.0,13.0,01,2021
Alcobendas,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,12.0,17.0,147.0,13.0,01,2021
Alcorcï¿½n,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,12.0,17.0,147.0,13.0,01,2021
Aldea del Fresno,282.0,11.0,54.0,57.0,8.0,69.0,83.0,10.0,16.0,35.0,198.0,23.0,01,2021
Algete,1131.0,49.0,185.0,247.0,50.0,221.0,379.0,4.0,115.0,76.0,887.0,49.0,01,2021
Alpedrete,846.0,40.0,124.0,223.0,29.0,170.0,260.0,3.0,41.0,53.0,705.0,44.0,01,2021
Ambite,74.0,3.0,11.0,13.0,2.0,20.0,25.0,2.0,5.0,5.0,59.0,3.0,01,2021
Anchuelo,104.0,5.0,19.0,12.0,4.0,37.0,27.0,2.0,6.0,5.0,80.0,11.0,01,2021
Aranjuez,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,12.0,17.0,147.0,13.0,01,2021
Arganda del Rey,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,12.0,17.0,147.0,13.0,01,2021
Arroyomolinos,1713.0,9.0,28.5,261.0,7.0,44.0,469.0,12.0,132.0,118.0,1293.0,13.0,01,2021
"Atazar, El",12.0,1.0,0.0,4.0,0.0,2.0,5.0,0.0,2.0,0.0,10.0,0.0,01,2021
Batres,84.0,6.0,9.0,16.0,3.0,17.0,33.0,0.0,7.0,4.0,68.0,5.0,01,2021
Becerril de la Sierra,367.0,11.0,59.0,106.0,18.0,64.0,109.0,2.0,13.0,41.0,291.0,20.0,01,2021
Belmonte de Tajo,118.0,7.0,21.0,17.0,4.0,35.0,34.0,4.0,14.0,11.0,86.0,3.0,01,2021
Berzosa del Lozoya,10.0,0.0,2.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,9.0,0.0,01,2021
"Berrueco, El",35.0,2.0,4.0,2.0,2.0,11.0,14.0,1.0,4.0,1.0,28.0,1.0,01,2021
Boadilla del Monte,1841.0,48.0,226.0,403.0,63.0,403.0,58.0,6.0,69.0,88.0,147.0,54.0,01,2021
"Boalo, El",450.0,22.0,63.0,109.0,10.0,110.0,136.0,3.0,18.0,30.0,379.0,20.0,01,2021
Braojos,7.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,5.0,2.0,01,2021
Brea de Tajo,50.0,9.0,4.0,9.0,6.0,7.0,15.0,1.0,4.0,1.0,34.0,10.0,01,2021
