Municipios,Periodo,Media de la renta por unidad de consumo,Mediana de la renta por unidad de consumo,Renta bruta media por hogar,Renta bruta media por persona,Renta neta media por hogar,Renta neta media por persona 
"28001 Acebeda, La",2021,,,32.418,18.151,27.228,15.245
28002 Ajalvir,2021,22.021,19.25,49.41,17.51,40.309,14.285
28003 Alameda del Valle,2021,23.319,20.65,38.659,22.296,31.144,17.962
"28004 Ãlamo, El",2021,17.271,15.75,38.098,13.081,32.321,11.097
28005 AlcalÃ¡ de Henares,2021,20.924,18.55,45.446,16.741,37.487,13.809
28006 Alcobendas,2021,20.283,21.35,41.656839,16.457760999999998,34.941,19.394
28007 AlcorcÃ³n,2021,21.213,19.25,44.762,17.004,36.837,13.993
28008 Aldea del Fresno,2021,16.508,15.05,33.938,12.896,28.998,11.019
28009 Algete,2021,26.295,21.35,66.244,20.975,51.371,16.265
28010 Alpedrete,2021,24.722,22.05,56.986,20.139,44.955,15.887
28011 Ambite,2021,16.38,14.35,29.465,13.209,24.987,11.201
28012 Anchuelo,2021,18.194,16.45,37.843,14.384,31.591,12.008
28013 Aranjuez,2021,19.707,17.85,43.277,15.406,35.897,12.779
28014 Arganda del Rey,2021,18.881,17.15,41.675,14.564,34.865,12.184
28015 Arroyomolinos,2021,25.053,23.45,60.726,19.226,48.247,15.275
"28016 Atazar, El",2021,19.91,17.85,35.727,17.353,30.175,14.656
28017 Batres,2021,22.409,20.65,50.804,17.916,41.241,14.544
28018 Becerril de la Sierra,2021,22.677,19.25,49.198,18.67,39.478,14.981
28019 Belmonte de Tajo,2021,17.523,16.45,34.47,13.875,29.326,11.804
28020 Berzosa del Lozoya,2021,22.291,19.95,39.711,20.221,32.533,16.566
"28021 Berrueco, El",2021,19.027,16.45,36.946,15.661,30.91,13.103
28022 Boadilla del Monte,2021,20.283,18.55,41.656839,16.457760999999998,34.941,13.665
"28023 Boalo, El",2021,24.448,21.35,55.559,19.799,44.138,15.729
28024 Braojos,2021,21.821,22.75,38.793,18.139,32.495,15.194
28025 Brea de Tajo,2021,15.228,13.65,26.225,12.533,23.115,11.047
28026 Brunete,2021,21.516,18.55,51.687,17.069,41.736,13.782
28027 Buitrago del Lozoya,2021,18.173,16.45,38.782,14.646,32.356,12.22
28028 Bustarviejo,2021,20.216,17.85,39.707,17.196,32.273,13.977
28029 Cabanillas de la Sierra,2021,22.577,19.95,45.928,18.612,37.592,15.234
"28030 Cabrera, La",2021,20.169,17.85,43.573,16.162,35.814,13.284
28031 Cadalso de los Vidrios,2021,15.762,14.35,30.903,12.183,26.755,10.548
28032 Camarma de Esteruelas,2021,20.948,19.25,47.204,16.381,38.662,13.416
28033 Campo Real,2021,18.78,17.15,40.276,14.569,33.749,12.207
28034 Canencia,2021,17.353,15.4,29.372,15.515,24.954,13.181
28035 CarabaÃ±a,2021,15.832,14.35,30.539,12.258,26.249,10.536
28036 Casarrubuelos,2021,19.356,17.85,44.515,14.722,36.126,11.947
28037 Cenicientos,2021,14.799,13.65,28.305,11.38,24.89,10.007
28038 Cercedilla,2021,21.13,18.55,44.465,17.465,36.353,14.279
28039 Cervera de Buitrago,2021,20.026,19.25,34.775,18.225,29.521,15.472
28040 Ciempozuelos,2021,17.568,15.75,38.763,13.482,32.837,11.421
28041 CobeÃ±a,2021,27.538,24.15,68.734,21.865,52.328,16.646
28042 Colmenar del Arroyo,2021,20.283,17.85,43.018,16.324,35.443,13.45
28043 Colmenar de Oreja,2021,16.258,15.05,33.616,12.464,28.978,10.744
28044 Colmenarejo,2021,22.34,19.25,54.117,17.659,43.589,14.224
28045 Colmenar Viejo,2021,24.582,21.35,57.743,19.736,46.101,15.757
28046 Collado Mediano,2021,23.102,20.65,52.769,19.013,42.236,15.217
28047 Collado Villalba,2021,19.932,17.85,44.242,15.854,36.502,13.08
28048 Corpa,2021,17.528,17.15,35.546,13.682,30.159,11.609
28049 Coslada,2021,20.647,18.55,45.386,16.329,37.8,13.6
28050 Cubas de la Sagra,2021,21.275,19.25,51.946,16.036,42.106,12.998
28051 ChapinerÃ­a,2021,19.111,17.15,41.32,14.881,34.282,12.347
28052 ChinchÃ³n,2021,16.971,15.05,34.534,13.43,29.352,11.415
